,online_order,book_table,votes,location,rest_type,cuisines,cost,menu_item,rate
135,1,1,1875,30,20,1159,1200,5047,4.1
136,1,0,90,1,13,332,650,5047,3.8
137,1,0,179,1,29,1465,600,5047,4.2
138,1,0,275,4,62,1547,100,2701,4.3
139,1,0,323,30,20,609,850,5047,3.7
140,1,0,322,30,20,1547,400,5047,4.3
141,1,0,157,30,13,346,450,5047,2.6
142,1,0,543,4,62,1571,300,2710,3.9
143,1,0,180,1,13,496,500,5047,3.7
144,1,0,444,4,62,1547,100,3895,4.2
145,1,0,134,30,62,1647,400,4179,3.9
146,1,0,577,30,20,1421,900,5047,3.8
147,1,0,144,30,20,1268,550,5047,3.9
148,1,0,787,1,20,594,800,5047,4.1
149,1,0,84,1,62,1589,250,110,3.6
150,1,1,349,1,20,1519,1200,5047,4
151,1,0,248,46,62,1327,400,5047,3.7
152,1,0,216,4,13,391,500,5047,4.1
153,1,0,324,1,13,462,700,5047,4
154,1,0,231,46,62,1270,400,4439,2.6
155,1,0,102,79,20,1591,400,743,3.4
156,1,0,133,1,13,441,800,5047,3.9
157,1,0,45,1,20,1483,800,5047,2.8
158,1,0,75,1,62,836,200,5047,3.8
159,1,0,53,63,29,1113,600,5047,4
160,1,1,815,30,20,1196,900,5047,4.2
161,1,1,633,1,20,1196,800,5047,4
162,1,0,56,30,30,958,400,5047,3.5
163,1,0,70,1,30,846,400,5047,3.9
164,1,0,91,30,13,439,300,5047,3.9
165,1,0,77,46,13,401,650,5047,3.8
166,1,0,210,46,20,1235,600,5047,3.8
167,1,0,130,30,13,473,650,5047,4.1
168,1,0,30,30,9,231,100,5047,4.1
169,1,0,144,1,13,533,700,5047,3.8
170,1,0,133,30,20,607,700,5047,3.7
171,1,0,136,30,62,1571,350,1680,4
172,1,0,74,4,62,1589,300,5047,3.8
173,1,0,54,4,13,359,600,5047,3.7
174,1,0,58,4,13,436,400,5047,3.4
175,1,0,129,1,20,1091,600,5047,3.6
176,1,0,41,75,44,1475,400,5047,3.5
177,1,0,176,4,20,68,800,5047,4.1
178,1,0,47,30,66,844,400,5047,3.7
179,1,1,36,30,20,586,650,5047,3.7
180,1,0,101,4,62,1547,150,5047,3.9
181,1,1,442,30,60,692,1200,5047,4.1
182,1,0,53,30,62,953,250,5047,3.8
183,1,0,232,30,62,1561,400,5047,4
184,1,0,221,30,20,521,700,5047,3.9
185,1,1,1063,30,21,987,1200,5047,4.1
186,1,0,93,4,62,1628,200,5047,3.7
187,1,0,233,30,20,1007,800,5047,3.9
188,1,0,211,30,20,840,500,5047,3.9
189,1,0,1778,30,62,1444,200,43,4
190,1,0,218,82,20,1277,800,5047,3.6
191,1,0,514,4,13,458,600,5047,3.7
192,1,1,866,30,20,1296,900,5047,4
193,1,0,96,46,62,1156,400,5047,3.2
194,1,0,80,1,62,1670,250,5047,3.5
195,1,0,73,4,0,194,300,3025,4
196,1,0,84,30,69,1121,400,5047,3.9
197,1,0,88,1,62,1592,350,5047,3.5
198,1,0,179,1,20,1208,600,5047,3.5
199,1,0,61,4,62,1021,100,5047,3.8
200,1,0,128,79,20,1220,450,5047,3.7
201,1,0,339,30,62,1589,400,740,3.8
202,1,0,449,4,62,1628,100,5047,4.1
203,1,0,210,30,32,210,150,5047,4.1
204,1,0,213,1,62,1428,400,5047,3
205,1,0,208,30,12,1652,250,4095,3.2
206,1,0,70,1,62,1547,100,131,3.8
207,1,0,219,4,13,455,600,5047,4
208,1,0,59,1,62,1451,200,5047,3.7
209,1,0,124,46,20,292,750,5047,3.7
210,1,1,775,1,20,1386,800,5047,4.1
211,1,1,2022,30,20,1416,1000,5047,4.2
212,1,1,150,1,13,462,600,1390,4.2
213,1,0,232,4,20,1196,750,5047,4
214,1,1,431,30,20,1156,800,5047,3.5
215,1,1,2115,1,20,1481,800,5047,4.2
216,1,0,150,30,20,1156,800,1664,4.2
217,1,0,155,30,20,1597,450,5047,3.8
218,1,1,666,30,21,50,1000,5047,4.1
219,1,0,240,4,13,332,700,5047,3.9
220,1,0,918,1,16,484,800,5047,3.8
221,1,0,465,30,20,1597,600,2731,4
222,1,1,970,30,54,1313,1500,5047,4.1
223,1,0,128,1,62,1196,300,5047,3.3
224,1,0,241,46,62,1196,300,5047,3.6
225,1,0,734,1,62,1597,200,3169,4.3
226,1,0,130,30,62,1181,400,5047,3.8
227,1,0,261,30,13,389,700,5047,4.2
228,1,0,191,46,62,1598,300,130,4
229,1,0,364,4,20,1566,550,133,4.1
230,1,0,888,1,20,1434,750,2724,3.9
231,1,0,750,4,20,1277,500,3359,3.9
232,1,1,164,1,13,380,500,5047,4.2
233,1,0,527,4,20,1156,500,5047,3.8
234,0,0,345,1,30,956,400,5047,4.3
235,0,0,356,1,69,1116,150,5047,4.4
236,1,0,38,1,30,949,150,1817,3.9
237,1,0,116,1,30,959,400,2645,3.9
238,1,0,918,1,16,484,800,5047,3.8
239,1,0,144,1,13,533,700,5047,3.8
240,1,0,860,1,30,789,500,5047,4.3
241,0,0,45,1,72,175,400,5047,3.8
242,1,0,70,1,30,846,400,5047,3.9
243,0,0,98,4,70,1123,400,5047,4
244,1,0,219,4,13,455,600,4811,4
245,1,0,73,4,0,194,300,3025,4
246,1,0,97,4,20,1597,400,5047,2.7
247,1,0,888,1,20,1434,750,2723,3.9
248,1,1,349,1,20,1519,1200,1161,4
249,1,0,287,1,62,1156,350,5047,4.2
250,1,1,2556,1,22,1468,600,5047,4.6
251,1,1,354,1,20,151,800,631,4.2
252,1,1,775,1,20,1386,800,5047,4.1
253,1,1,2115,1,20,1481,800,5047,4.2
254,0,1,977,1,46,878,1300,5047,3.8
255,0,0,868,1,57,704,1200,5047,4.1
256,1,0,324,1,13,462,700,4464,4
257,1,0,787,1,20,594,800,5047,4.1
258,1,0,504,1,13,485,550,921,4.2
259,1,0,402,1,13,332,500,3421,4.1
260,1,1,150,1,13,462,600,1391,4.2
261,1,1,164,1,13,380,500,2020,4.2
262,0,0,244,1,20,1000,800,5047,4.2
263,1,0,771,1,20,1589,450,4549,4
264,1,0,1647,1,20,609,600,5047,4.2
265,0,1,808,1,20,1196,850,5047,4
266,0,0,424,1,13,383,450,5047,4
267,1,0,135,1,20,1222,800,3649,3.9
268,1,0,918,1,16,484,800,5047,3.8
269,1,0,90,1,13,332,650,5047,3.8
270,1,0,519,1,20,561,900,5047,3.9
271,1,0,105,1,20,1678,700,5047,3.6
272,1,0,133,1,13,441,800,1303,3.9
273,1,0,144,1,13,533,700,5047,3.8
274,0,0,93,1,13,456,300,5047,3.9
275,1,0,42,1,62,1589,300,2891,3.8
276,1,0,247,1,20,1156,500,2854,2.5
277,1,0,62,1,13,444,400,2412,3
278,1,0,160,1,20,1196,700,4051,3.8
279,1,0,129,1,20,1091,600,1332,3.6
280,0,0,62,1,4,1589,800,5047,3.3
281,0,0,283,1,20,1156,600,5047,2.6
282,1,0,59,1,20,1196,750,5047,3.8
283,1,0,179,1,20,1208,600,3594,3.5
284,0,0,62,1,62,1561,150,5047,3.8
285,0,0,98,1,4,1196,800,5047,3
286,0,0,128,1,20,604,850,5047,2.7
287,1,0,45,1,20,1483,800,2158,2.8
288,1,0,41,75,44,1475,400,5047,3.5
289,1,0,405,1,20,1474,750,4226,3.7
290,1,0,388,1,20,299,650,959,3.9
291,0,0,651,1,62,1547,100,5047,4.7
292,1,0,734,1,62,1597,200,4698,4.3
293,0,0,1047,1,62,980,450,5047,4
294,1,0,505,1,62,322,450,669,3.8
295,1,0,264,1,62,1547,200,3221,3.9
296,1,0,286,1,62,322,500,3384,3.9
297,0,0,343,1,62,1547,100,5047,4.4
298,0,0,70,1,62,821,500,5047,3.8
299,1,0,70,1,62,1547,100,132,3.8
300,1,0,237,1,62,1571,200,2040,3.7
301,1,0,201,1,62,1597,300,1913,4.1
302,1,0,506,1,62,1332,500,5047,2.8
303,0,0,520,1,62,248,300,5047,4.1
304,0,0,88,1,62,1587,300,5047,3.7
305,1,0,136,1,62,1507,600,865,3.7
306,0,0,88,1,62,1547,250,5047,3.9
307,0,0,189,1,62,1547,300,5047,3.8
308,0,0,39,1,62,1563,350,5047,3.8
309,1,0,540,1,62,1474,800,3122,3.9
310,0,0,71,1,62,1416,250,5047,3.6
311,1,0,88,1,62,1592,350,1037,3.5
312,1,0,87,1,62,1476,600,3490,3
313,1,0,415,1,62,1190,500,1023,4.2
314,1,0,128,1,62,1196,300,1864,3.3
315,0,0,94,1,62,1547,100,5047,4.1
316,0,0,65,1,62,873,300,5047,3.7
317,0,0,52,1,62,1547,300,5047,3.5
318,1,0,290,1,62,1215,450,65,3
319,1,0,59,1,62,1451,200,5047,3.7
320,0,0,130,1,62,1547,200,5047,3.7
